site,sample name,lab number,bottom increment (cm),Mid Point Section (cm),bulk density (g/cm^3),%Nitrogen,%Carbon,%Hydrogen,LOI550,LOI950,C density (g/cm^3),Culmulative carbon mass (g/cm^2),Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^2,Peat Accretion Rate averaged across entire core (cm/yr),Average carbon accumulation rate (g/cm^2/yr) ,Average carbon accumulation (g/m^2/yr),Age for Midpoint of section estimated from rBacon model (yrbp),Accretion Rate Obtained using rBacon age-depth model (cmyr-1),Modelled Carbon accumulation rate (gcm-2yr-1),Modelled Carbon Accumulation rate (gm-2yr-1),Carbon Density (gcm-3),OM density (gcm-3)
DB-03,DB-03-01,35,36,34,0.09335476,1.2078,46.188,5.2352,87.88695581,0.03393776,0.043118697,1.505707275,15.05707275,0.010257678,0.000442298,4.422976976,2542.39099,0.009772317,0.00042137,4.21369572,0.041023328,0.082046657
DB-03,DB-03-01,36,40,38,0.115263471,1.4693,44.973,4.8978,83.67436771,0.04354005,0.051837441,1.713057039,17.13057039,0.010257678,0.000531732,5.317317681,2931.36086,0.01631691,0.000845827,8.458268591,0.04822299,0.096445981
DB-03,DB-03-01,37,44,42,0.171001461,1.4307,43.779,4.7874,81.87108641,0.050154282,0.07486273,2.012507957,20.12507957,0.010257678,0.000767918,7.6791776,3235.86607,0.01214186,0.000908973,9.089727817,0.070000377,0.140000754
DB-03,DB-03-01,38,48,46,0.165502557,1.7854,42.778,4.8616,81.16074111,0.048022033,0.070798684,2.154105324,21.54105324,0.010257678,0.00072623,7.262300864,3553.45005,0.012279045,0.00086934,8.693402227,0.067161551,0.134323102
DB-03,DB-03-01,39,50,49,0.11395179,1.6912,43.092,5.027,82.15692453,0.037576808,0.049104105,2.350521745,23.50521745,0.010257678,0.000503694,5.036940902,3784.43755,0.012383935,0.000608102,6.081020469,0.046809643,0.093619286
DB-03,DB-03-02,66,54,52,0.160691015,1.6447,41.993,4.7117,77.703855,0.057220195,0.067478978,2.620437657,26.20437657,0.010257678,0.000692178,6.92177616,4005.3293,0.012757131,0.000860838,8.60838163,0.062431557,0.124863114
DB-03,DB-03-02,67,58,56,0.145991965,1.6405,42.341,4.7756,78.84461006,0.046540669,0.061814458,2.867695489,28.67695489,0.010257678,0.000634073,6.340727929,4304.53839,0.012942693,0.000800046,8.000455512,0.057553398,0.115106795
DB-03,DB-03-02,68,62,60,0.146557341,1.7218,44.5,4.9549,81.24389543,0.058709183,0.065218017,3.128567556,31.28567556,0.010257678,0.000668985,6.689854038,4586.45197,0.013522679,0.000881922,8.819223062,0.059534446,0.119068893
DB-03,DB-03-02,69,66,64,0.125986121,2.0703,46.4,4.7452,77.81164127,0.077122158,0.05845756,3.362397797,33.62397797,0.010257678,0.000599639,5.996388187,4898.29924,0.013199159,0.000771591,7.715906327,0.049015934,0.098031869
DB-03,DB-03-02,70,70,68,0.129927684,1.423,47.907,4.8504,80.56161314,0.056470002,0.062244456,3.61137562,36.1137562,0.010257678,0.000638484,6.384835729,5181.97579,0.012743344,0.000793203,7.932025122,0.052335919,0.104671839
DB-03,DB-03-02,71,74,72,0.135624543,2.1249,38.868,4.7245,70.93295452,0.053020148,0.052714548,3.82223381,38.2223381,0.010257678,0.000540729,5.407288447,5779.27075,0.0054527,0.000287437,2.874366134,0.048101248,0.096202496
DB-03,DB-03-02,72,78,76,0.166707816,2.2993,38.013,4.3724,68.0866426,0.025047033,0.063370642,4.075716379,40.75716379,0.010257678,0.000650036,6.500356289,6579.79873,0.004478998,0.000283837,2.838369791,0.056752877,0.113505755
DB-03,DB-03-02,73,82,80,0.121480643,1.5455,36.816,4.2271,66.20929491,0.019849336,0.044724313,4.254613632,42.54613632,0.010257678,0.000458768,4.587675977,7431.64911,0.003860426,0.000172655,1.726549025,0.040215739,0.080431477
DB-03,DB-03-02,74,86,84,0.137376187,1.6804,31.584,3.886,58.30011019,0.019292798,0.043388895,4.319696975,43.19696975,0.010257678,0.000445069,4.450693044,8191.73986,0.010583162,0.000459192,4.591917037,0.040045234,0.080090468
DB-03,DB-03-02,75,87.5,86.75,0.240134409,1.2151,20.857,2.7108,7.231543624,0.005771812,0.050084834,4.444909059,44.44909059,0.010257678,0.000513754,5.137540863,8479.65128,0.00936708,0.000469149,4.691486431,0.008682712,0.017365425
